Time,Open,Close,High,Low,Amount,Volume
2023-03-11 15:15:00,1431.03,1433,1433.47,1431.03,115.3699883,165276.369603108
2023-03-11 15:20:00,1432.99,1432.76,1434.25,1432.56,30.1313387,43194.429457728
2023-03-11 15:25:00,1432.76,1432.42,1433.48,1431.13,68.0393877,97443.29499281
2023-03-11 15:30:00,1432.22,1431.97,1432.37,1429.26,102.8495681,147203.816390223
2023-03-11 15:35:00,1431.87,1430.79,1432.94,1430.77,52.8568936,75692.177987071
2023-03-11 15:40:00,1430.88,1431.85,1432.71,1430.16,63.421481,90761.880872289
2023-03-11 15:45:00,1431.84,1430,1432.29,1430,24.5584872,35147.137867526
2023-03-11 15:50:00,1430,1428.45,1430.72,1426.4,162.7901132,232562.51056846
2023-03-11 15:55:00,1428.57,1428.21,1430.31,1428.21,67.6815244,96743.493024721
2023-03-11 16:00:00,1428.21,1429.96,1430.55,1427.88,78.491891,112166.687292396
2023-03-11 16:05:00,1429.97,1424.56,1430.4,1422.18,208.2889596,297002.844798867
2023-03-11 16:10:00,1424.52,1426.54,1427.89,1424.46,95.8504827,136703.735721205
2023-03-11 16:15:00,1426.2,1424.98,1428.63,1424.57,91.1183001,129987.424038843
2023-03-11 16:20:00,1424.97,1425.13,1427.67,1424.96,62.469562,89091.346075962
2023-03-11 16:25:00,1425.12,1424.77,1426.26,1423.79,92.8152577,132253.282004364
2023-03-11 16:30:00,1424.87,1427.03,1427.26,1424.17,90.6723519,129263.489982272
2023-03-11 16:35:00,1427.33,1428.7,1429,1426.6,125.5321752,179190.936374105
2023-03-11 16:40:00,1428.71,1428.37,1429.12,1426.63,324.8215766,463779.953077978
2023-03-11 16:45:00,1428.55,1431.95,1433.47,1428.55,105.2561125,150683.270788715
2023-03-11 16:50:00,1431.55,1432.08,1435.01,1430.22,618.5526582,886267.709110048
2023-03-11 16:55:00,1432.08,1431.83,1433.17,1431.35,166.2558568,238090.933335607
